date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-08,Budalangi Town,Budalangi Central,0.1333,34.0167,Critical,8,18400,River overflow,28.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-24,Sigulu Island,Budalangi East,0.1167,34.0667,Critical,5,12800,River overflow,18.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-14,Mundere,Budalangi West,0.15,33.9833,High,3,9200,River overflow,12.0,4,True,True,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-04-20,Bumala,Bunyala North,0.1667,34.05,High,4,11000,River overflow,15.5,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-02,Namboboto,Budalangi Central,0.1333,34.0167,Critical,10,16500,River overflow,32.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-30,Budalangi Central,Budalangi Central,0.1333,34.0167,High,2,8900,River overflow,9.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-10,Port Victoria,Bunyala South,0.1,34.0833,Medium,1,4200,River overflow,6.0,6,True,True,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-05-05,Sigulu Island,Budalangi East,0.1167,34.0667,Critical,7,14200,River overflow,24.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-11-15,Budalangi Town,Budalangi Central,0.1333,34.0167,High,4,10800,River overflow,14.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-04-28,Mundere,Budalangi West,0.15,33.9833,Critical,9,17600,River overflow,34.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-05-02,Bumala B,Bunyala North,0.1833,34.05,High,3,8400,River overflow,11.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-11-20,Namboboto,Budalangi Central,0.1333,34.0167,High,5,12100,River overflow,18.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2017-04-25,Port Victoria,Bunyala South,0.1,34.0833,Medium,1,3600,Flash flood,4.5,7,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2016-05-10,Budalangi Town,Budalangi Central,0.1333,34.0167,Critical,12,21000,River overflow,42.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2015-11-08,Sigulu Island,Budalangi East,0.1167,34.0667,Critical,15,24000,River overflow,55.0,2,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
