date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced
2023-11-12,Thika Town Centre,Thika East,-1.0333,37.0833,High,2,1200,River overflow,6.5,5,True,False
2023-04-22,Kiandutu,Thika West,-1.0167,37.0667,High,3,1600,Flash flood,9.0,5,True,False
2022-11-08,Makongeni,Thika Central,-1.0333,37.0833,Critical,5,2800,River overflow,18.0,4,True,False
2022-05-05,Thika Industrial Area,Thika East,-1.0500,37.0833,High,1,800,Drainage failure,8.5,5,True,False
2021-11-18,Kiandutu,Thika West,-1.0167,37.0667,High,3,1900,Flash flood,10.5,4,True,False
2021-04-28,Chania River Corridor,Thika North,-1.0000,37.0833,Critical,6,3200,River overflow,22.0,3,True,False
2020-11-10,Makongeni,Thika Central,-1.0333,37.0833,High,2,1400,River overflow,7.5,5,True,False
2019-05-08,Thika Town,Thika East,-1.0333,37.0833,High,2,1300,Flash flood,6.0,6,True,False
2018-11-15,Industrial Area,Thika East,-1.0500,37.0833,Medium,1,700,Drainage failure,5.5,7,False,False
2017-04-25,Kiandutu,Thika West,-1.0167,37.0667,High,4,2200,River overflow,13.0,4,True,False
