date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-15,Athi River Town,Mavoko Central,-1.45,36.9833,High,2,1400,River overflow,8.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-22,Mlolongo,Mavoko North,-1.3833,36.9667,High,3,1800,Flash flood,10.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-10,Syokimau,Mavoko North,-1.3667,36.9833,Critical,4,2600,Flash flood,16.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-05-05,Athi River Industrial,Mavoko Central,-1.45,36.9833,High,1,600,Drainage failure,12.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-18,Stoni Athi,Mavoko South,-1.5,37.0167,High,3,1900,River overflow,11.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-25,Mlolongo,Mavoko North,-1.3833,36.9667,High,2,1500,Flash flood,8.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-08,Athi River Town,Mavoko Central,-1.45,36.9833,High,3,2100,River overflow,9.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-05-12,Syokimau,Mavoko North,-1.3667,36.9833,Medium,1,900,Drainage failure,5.5,7,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-11-15,Stoni Athi,Mavoko South,-1.5,37.0167,Critical,5,2800,River overflow,19.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2017-04-28,Athi River Industrial,Mavoko Central,-1.45,36.9833,High,2,1200,Drainage failure,9.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
