date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-15,Langas,Eldoret East,0.5,35.2833,High,3,1600,River overflow,8.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-18,Huruma,Eldoret West,0.5167,35.25,High,2,1400,Flash flood,7.0,6,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-08,Pioneers,Eldoret North,0.5333,35.2833,Critical,5,2800,River overflow,16.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-05-02,Kapsoya,Eldoret East,0.5,35.3,Medium,1,800,Drainage failure,3.5,8,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-20,Langas,Eldoret East,0.5,35.2833,High,3,1900,River overflow,10.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-25,Sosiani,Eldoret Central,0.5167,35.2667,High,2,1200,River overflow,6.5,6,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-10,Huruma,Eldoret West,0.5167,35.25,Medium,1,900,Flash flood,4.0,7,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-05-05,Pioneers,Eldoret North,0.5333,35.2833,High,4,2400,River overflow,14.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-11-14,Langas,Eldoret East,0.5,35.2833,Critical,6,3100,River overflow,20.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-05-08,Kapsoya,Eldoret East,0.5,35.3,High,2,1300,Flash flood,6.0,6,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
