date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-15,Garissa Town Centre,Garissa Township,-0.4569,39.6583,Critical,12,8400,River overflow,38.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-11-14,Bura East,Garissa North,-0.9833,39.9333,Critical,18,14200,River overflow,52.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-29,Hulugho,Fafi,-0.7333,40.2833,High,6,5600,Flash flood,18.5,7,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-27,Ijara,Ijara,-1.5667,40.5167,High,4,3800,River overflow,14.0,6,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-22,Masalani,Ijara,-1.6,40.45,Critical,9,7200,River overflow,24.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-18,Balambala,Balambala,-0.5667,39.9667,High,3,4100,River overflow,12.5,6,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-04-30,Dadaab,Dadaab,-0.0667,40.3167,High,5,12000,Flash flood,8.0,8,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-10,Garissa Central,Garissa Township,-0.453,39.642,Critical,14,9800,River overflow,41.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-05-02,Bangale,Tana North,-1.1,40.1833,High,7,6200,River overflow,22.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-05,Bura Town,Tana River,-1.1,39.95,Critical,11,8900,River overflow,35.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-04-25,Hola,Tana River,-1.4833,40.0333,High,4,5400,River overflow,16.0,6,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-11-18,Garissa Township,Garissa Township,-0.4569,39.6583,High,6,7100,River overflow,20.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-05-07,Madogo,Tana North,-1.1167,40.0667,Medium,2,2800,Flash flood,6.0,9,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2017-11-22,Masalani,Ijara,-1.6,40.45,High,8,5900,River overflow,26.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2016-04-30,Garissa Town,Garissa Township,-0.4569,39.6583,Critical,16,11200,River overflow,44.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
