date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-15,Naivasha Town,Naivasha East,-0.7167,36.4333,High,2,1600,Lake overflow,9.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-22,Kongoni,Naivasha West,-0.75,36.3833,High,3,2100,Flash flood,11.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-10,Naivasha Town,Naivasha East,-0.7167,36.4333,Critical,5,3200,Lake overflow,20.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-05-05,Gilgil,Gilgil,-0.5,36.3167,High,2,1400,River overflow,8.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-18,Kongoni,Naivasha West,-0.75,36.3833,Critical,6,3800,Lake overflow,24.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-25,Hell's Gate Corridor,Naivasha South,-0.9167,36.3333,High,4,1900,Flash flood,14.0,4,True,True,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-08,Naivasha Town,Naivasha East,-0.7167,36.4333,High,3,2400,Lake overflow,12.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-05-10,Gilgil,Gilgil,-0.5,36.3167,Medium,1,900,River overflow,5.0,7,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-11-12,Kongoni,Naivasha West,-0.75,36.3833,High,3,2200,Lake overflow,11.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-05-08,Naivasha Town,Naivasha East,-0.7167,36.4333,High,2,1700,Flash flood,8.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
