date,location,zone,lat,lon,severity,deaths,displaced,cause,infra_damage_ksh_m,response_days,policy_existed,policy_enforced,source,verified
2023-11-22,Lamu Old Town,Lamu Island,-2.2694,40.9022,Critical,4,2800,Tidal surge,38.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2023-04-28,Mokowe,Lamu West,-2.1667,40.9,High,2,1400,Coastal flooding,9.5,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-11-18,Shela Village,Lamu Island,-2.2833,40.9167,High,3,1900,Tidal surge,14.0,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2022-05-05,Witu,Lamu West,-2.3833,40.4333,High,3,2100,River overflow,11.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-11-10,Lamu Old Town,Lamu Island,-2.2694,40.9022,Critical,6,3600,Tidal surge,46.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2021-04-22,Hindi,Lamu East,-2.15,40.9167,Medium,1,800,Coastal flooding,4.5,7,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-11-15,Mokowe,Lamu West,-2.1667,40.9,High,2,1700,Tidal surge,10.0,5,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2020-05-08,Witu,Lamu West,-2.3833,40.4333,High,3,2300,River overflow,12.5,4,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2019-11-12,Lamu Old Town,Lamu Island,-2.2694,40.9022,Critical,8,4200,Tidal surge,52.0,3,True,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
2018-05-10,Shela Village,Lamu Island,-2.2833,40.9167,Medium,1,900,Coastal flooding,5.0,6,False,False,"Seed data — compiled from published event ranges in NDOC/Red Cross reports; individual figures are representative estimates, not extracted from specific incident reports. Verify at reliefweb.int",compiled-unverified
